,000001.SZ,000002.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000408.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000553.SZ,000568.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000661.SZ,000671.SZ,000703.SZ,000709.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000938.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001965.SZ,001979.SZ,002001.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002032.SZ,002044.SZ,002050.SZ,002065.SZ,002081.SZ,002085.SZ,002120.SZ,002142.SZ,002146.SZ,002153.SZ,002179.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002294.SZ,002304.SZ,002310.SZ,002311.SZ,002352.SZ,002411.SZ,002415.SZ,002422.SZ,002450.SZ,002456.SZ,002460.SZ,002466.SZ,002468.SZ,002475.SZ,002493.SZ,002508.SZ,002555.SZ,002558.SZ,002572.SZ,002594.SZ,002601.SZ,002602.SZ,002624.SZ,002625.SZ,002673.SZ,002714.SZ,002736.SZ,002773.SZ,002797.SZ,002925.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300033.SZ,300059.SZ,300070.SZ,300072.SZ,300122.SZ,300124.SZ,300136.SZ,300142.SZ,300144.SZ,300251.SZ,300296.SZ,300408.SZ,300433.SZ,600000.SH,600004.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600023.SH,600025.SH,600027.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600048.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600153.SH,600157.SH,600170.SH,600176.SH,600177.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600309.SH,600332.SH,600339.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600383.SH,600390.SH,600398.SH,600406.SH,600415.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600518.SH,600519.SH,600522.SH,600535.SH,600547.SH,600549.SH,600566.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600660.SH,600674.SH,600688.SH,600690.SH,600703.SH,600704.SH,600705.SH,600739.SH,600741.SH,600760.SH,600795.SH,600809.SH,600816.SH,600837.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,600909.SH,600919.SH,600926.SH,600958.SH,600977.SH,600998.SH,600999.SH,601006.SH,601009.SH,601012.SH,601018.SH,601021.SH,601066.SH,601088.SH,601108.SH,601111.SH,601117.SH,601138.SH,601155.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601212.SH,601216.SH,601225.SH,601228.SH,601229.SH,601238.SH,601288.SH,601318.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601555.SH,601600.SH,601601.SH,601607.SH,601611.SH,601618.SH,601628.SH,601633.SH,601668.SH,601669.SH,601688.SH,601727.SH,601766.SH,601788.SH,601800.SH,601808.SH,601818.SH,601828.SH,601838.SH,601857.SH,601877.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601933.SH,601939.SH,601985.SH,601988.SH,601989.SH,601991.SH,601992.SH,601997.SH,601998.SH,603156.SH,603160.SH,603259.SH,603260.SH,603288.SH,603799.SH,603833.SH,603858.SH,603986.SH,603993.SH
2005-01-31,,,2.8815364303420403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6466906629013212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2704285273071645,,,,,,,,1.796569394944053,1.6133657883187036,,,,,,,,,,,,,,,,2.510470785400808,,,,,,,2.4019723068219787,,,,,,,,,,1.3347272461572792,,,,,2.263239125733704,,,,,,,,,,,,,,,,,,,,,,,,1.937828726635474,,,,,,1.6615093813652166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,3.2406874666382843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8092902795253294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3934239233691925,,,,,,,2.494159844287151,2.0166491458246996,1.7019716897366644,,,,,,,,,,,,,,,,2.6801927539912853,,,,,,,2.722763332135384,,,,,,,,,,1.427106936225444,,,,,2.670264343998066,,,,,,,,,,,,,,,,,,,,,,,,2.1172573124350547,,,,,,1.9468980515761833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,,,3.114724349560471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5786944595858265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3502093247528046,,,,,,,1.981911856707394,1.8774150177165354,1.4398458980418636,,,,,,,,,,,,,,,,2.2558878325150924,,,,,,,2.3564279019935324,,,,,,,,,,1.309243193724682,,,,,2.2050926659816525,,,,,,,,,,,,,,,,,,,,,,,,1.5909334607562842,,,,,,1.6927848520732678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-29,,,2.7763936631944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3274041429850865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4000723231563295,,,,,,,1.9575190953940722,1.8639407472544554,1.284785570560432,,,,,,,,,,,,,,,,2.142739853454774,,,,,,,2.277220241422321,,,,,,,,,,1.6500923950106694,,,,,2.334803999274691,,,,,,,,,,,,,,,,,,,,,,,,1.502415358428491,,,,,,1.6497810798496975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,2.514057254073709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.164804526361078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9945199361409938,,,,,,,1.6587077693058807,1.594455338012847,1.2294068821742066,,,,,,,,,,,,,,,,2.114452858689695,,,,,,,2.083161473022854,,,,,,,,,,1.5513416918343552,,,,,1.9635612177808224,,,,,,,,,,,,,,,,,,,,,,,,1.5239467887244407,,,,,,1.4699471232784034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,,,2.3985043119610046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0938680075164564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.044382934544519,,,,,,,1.8233589081708024,1.5854724910381268,1.0964980300472653,,,,,,,,,,,,,,,,2.036663623085726,,,,,,,2.0593991748514906,,,,,,,,,,1.7488430981869836,,,,,1.9322515856066407,,,,,,,,,,,,,,,,,,,,,,,,1.5861486984682953,,,,,,1.3878490126697691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-29,,,2.571313216381806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1855164081462135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9247117383760592,,,,,,,1.8111625275141416,1.832500782842934,1.0115840411883863,,,,,,,,,,,,,,,,1.6689326911396922,,,,,,,1.9453401436289464,,,,,,,,,,1.6596489146728934,,,,,1.9993436545513157,,,,,,,,,,,,,,,,,,,,,,,,1.6459582270681556,,,,,,1.3878490126697691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,2.6441844411375657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.330380009141636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1441089313515684,,,,,,,1.8782426211257763,1.9807177579258184,0.9635891779203241,,,,,,,,,,,,,,,,1.739650178052391,,,,,,,2.0530625620057936,,,,,,,,,,1.9590865307559107,,,,,2.3379695608521036,,,,,,,,,,,,,,,,,,,,,,,,1.72969156710796,,,,,,1.4503999540858714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,,2.9075618677548114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2830776088166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9945199361409938,,,,,,,1.7257878629175154,1.8549579002797347,0.9192862272113437,,,,,,,,,,,,,,,,1.739650178052391,,,,,,,2.0245478042001577,,,,,,,,,,2.1279183781218673,,,,,2.6587720369773407,,,,,,,,,,,,,,,,,,,,,,,,1.7536153785479043,,,,,,1.3917584465082755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-31,,,2.8003370656141935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333364091619508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.791743742633326,,,,,,,1.6282168176642282,1.760638007045172,0.9155943146522619,,,,,,,,,,,,,,,,1.6618609424484223,,,,,,,1.7615783711037363,,,,,,,,,,2.0323531814996274,,,,,2.2601992636096226,,,,,,,,,,,,,,,,,,,,,,,,1.8564877677396638,,,,,,1.2627471298375648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
